Sample	LR999924.1	LR999925.1	LR999926.1	LR999927.1	LR999928.1	LR999929.1	LR999930.1	LR999931.1	LR999932.1	LR999933.1	LR999934.1	LR999935.1	LR999936.1	LR999937.1	LR999938.1	LR999939.1	LR999940.1	LR999941.1	LR999942.1	LR999943.1	LR999944.1	LR999945.1	LR999946.1	LR999947.1	LR999948.1	LR999949.1	LR999950.1	LR999951.1	LR999952.1	LR999953.1	LR999954.1	LR999955.1	*
HDAL_V_A_18	[3321573, 17040296]	[3608573, 16607008]	[3055634, 16362069]	[7314347, 16090551]	[3396277, 16000791]	[1669391, 15952094]	[3759822, 15715213]	[2351544, 15572524]	[1601027, 15426761]	[2151798, 15296561]	[1932324, 14945938]	[1874144, 14868897]	[4241491, 14774369]	[1765923, 14615999]	[1246544, 14605406]	[1020709, 13916383]	[10481, 13819298]	[1862953, 13774036]	[20983108, 13550656]	[2822522, 13236624]	[711842, 12933853]	[1524278, 12861081]	[851309, 12594674]	[1773450, 11704087]	[720607, 11326783]	[1087161, 11199261]	[1192818, 9960137]	[447564, 9839934]	[639196, 8262369]	[891829, 8178468]	[639182, 7379297]	[486271, 6166334]	[0, 0]
HDAL_V_A_3	[1514475, 17040296]	[3875904, 16607008]	[2168005, 16362069]	[8158077, 16090551]	[2568477, 16000791]	[1551006, 15952094]	[3698825, 15715213]	[1458153, 15572524]	[1495797, 15426761]	[1535462, 15296561]	[1696585, 14945938]	[1637611, 14868897]	[3315297, 14774369]	[1836204, 14615999]	[1731303, 14605406]	[829297, 13916383]	[12804, 13819298]	[1384948, 13774036]	[27572744, 13550656]	[7913205, 13236624]	[513965, 12933853]	[2330265, 12861081]	[1996553, 12594674]	[1735835, 11704087]	[613896, 11326783]	[1037901, 11199261]	[863797, 9960137]	[249595, 9839934]	[556532, 8262369]	[1030667, 8178468]	[394343, 7379297]	[430605, 6166334]	[0, 0]
HDAL_V_A_4	[1937108, 17040296]	[4144685, 16607008]	[2299163, 16362069]	[10530835, 16090551]	[4838456, 16000791]	[1469382, 15952094]	[2369823, 15715213]	[1559303, 15572524]	[1392326, 15426761]	[1552090, 15296561]	[1514976, 14945938]	[1647389, 14868897]	[2397295, 14774369]	[1733180, 14615999]	[1004467, 14605406]	[822731, 13916383]	[270585, 13819298]	[1301528, 13774036]	[30505192, 13550656]	[5127456, 13236624]	[614952, 12933853]	[1526622, 12861081]	[1404491, 12594674]	[1410273, 11704087]	[727995, 11326783]	[1088857, 11199261]	[476960, 9960137]	[274697, 9839934]	[696306, 8262369]	[929907, 8178468]	[487618, 7379297]	[598719, 6166334]	[0, 0]
HDAL_V_H_1	[4423893, 17040296]	[7352369, 16607008]	[5766809, 16362069]	[4301327, 16090551]	[6725049, 16000791]	[3405641, 15952094]	[4488850, 15715213]	[4740548, 15572524]	[2889799, 15426761]	[2799881, 15296561]	[2413957, 14945938]	[4286811, 14868897]	[5375776, 14774369]	[3904813, 14615999]	[2690931, 14605406]	[2494596, 13916383]	[47037, 13819298]	[3280266, 13774036]	[5374324, 13550656]	[7737587, 13236624]	[1367962, 12933853]	[2584246, 12861081]	[2928883, 12594674]	[3623647, 11704087]	[1932729, 11326783]	[2183798, 11199261]	[1967551, 9960137]	[961335, 9839934]	[1385161, 8262369]	[2562954, 8178468]	[1169431, 7379297]	[1155603, 6166334]	[0, 0]
HDAL_V_H_18	[3856833, 17040296]	[5520115, 16607008]	[3168282, 16362069]	[4430539, 16090551]	[4620212, 16000791]	[1859900, 15952094]	[4544383, 15715213]	[2882318, 15572524]	[1869286, 15426761]	[2567709, 15296561]	[2086596, 14945938]	[3063913, 14868897]	[5836326, 14774369]	[2691934, 14615999]	[2086493, 14605406]	[1793474, 13916383]	[43360, 13819298]	[5150888, 13774036]	[7921285, 13550656]	[3856916, 13236624]	[694873, 12933853]	[1547110, 12861081]	[1358036, 12594674]	[3142880, 11704087]	[1518728, 11326783]	[1407189, 11199261]	[1173188, 9960137]	[541677, 9839934]	[2078861, 8262369]	[1650013, 8178468]	[751676, 7379297]	[588333, 6166334]	[0, 0]
HDAL_V_H_3	[2017024, 17040296]	[3503170, 16607008]	[2317649, 16362069]	[4503698, 16090551]	[2820008, 16000791]	[1432182, 15952094]	[2749903, 15715213]	[1898781, 15572524]	[1362343, 15426761]	[1469533, 15296561]	[1436757, 14945938]	[2044111, 14868897]	[3194211, 14774369]	[1839206, 14615999]	[1409401, 14605406]	[1161205, 13916383]	[22293, 13819298]	[2116915, 13774036]	[8726003, 13550656]	[3122761, 13236624]	[552871, 12933853]	[1360224, 12861081]	[1205126, 12594674]	[1671998, 11704087]	[984839, 11326783]	[999457, 11199261]	[888998, 9960137]	[385636, 9839934]	[796574, 8262369]	[1226662, 8178468]	[484057, 7379297]	[480279, 6166334]	[0, 0]
HDAL_V_H_4	[2676896, 17040296]	[4154206, 16607008]	[3175043, 16362069]	[4897531, 16090551]	[3892111, 16000791]	[1646844, 15952094]	[2988885, 15715213]	[2517666, 15572524]	[1544443, 15426761]	[1571181, 15296561]	[1379282, 14945938]	[2234797, 14868897]	[3960558, 14774369]	[2287595, 14615999]	[1413362, 14605406]	[1236374, 13916383]	[41070, 13819298]	[2147881, 13774036]	[13693735, 13550656]	[3930439, 13236624]	[760245, 12933853]	[1387808, 12861081]	[1386908, 12594674]	[1980584, 11704087]	[933518, 11326783]	[1179438, 11199261]	[826237, 9960137]	[443320, 9839934]	[931723, 8262369]	[1261492, 8178468]	[633796, 7379297]	[682231, 6166334]	[0, 0]
HDLI_ADF_A_18	[1980704, 17040296]	[4441436, 16607008]	[4092969, 16362069]	[2419059, 16090551]	[2807541, 16000791]	[2288560, 15952094]	[2846994, 15715213]	[3466426, 15572524]	[2358171, 15426761]	[2019087, 15296561]	[2007132, 14945938]	[2894208, 14868897]	[2970013, 14774369]	[2889671, 14615999]	[2059248, 14605406]	[1603836, 13916383]	[34155, 13819298]	[2486577, 13774036]	[3322179, 13550656]	[4316866, 13236624]	[1035359, 12933853]	[1799971, 12861081]	[1247794, 12594674]	[1184908, 11704087]	[1009428, 11326783]	[1620307, 11199261]	[959148, 9960137]	[548184, 9839934]	[1266362, 8262369]	[1506410, 8178468]	[916901, 7379297]	[740358, 6166334]	[0, 0]
HDLI_ADF_H_18	[3170632, 17040296]	[3382655, 16607008]	[5999909, 16362069]	[1880326, 16090551]	[2018887, 16000791]	[1824512, 15952094]	[7372265, 15715213]	[3234675, 15572524]	[2010039, 15426761]	[2024395, 15296561]	[1791277, 14945938]	[2323866, 14868897]	[1918157, 14774369]	[1640963, 14615999]	[1584027, 14605406]	[1730430, 13916383]	[20713, 13819298]	[2876551, 13774036]	[2115765, 13550656]	[4589036, 13236624]	[907307, 12933853]	[1707773, 12861081]	[1354455, 12594674]	[775492, 11704087]	[925691, 11326783]	[1032204, 11199261]	[1014187, 9960137]	[563866, 9839934]	[929450, 8262369]	[992714, 8178468]	[568624, 7379297]	[437411, 6166334]	[0, 0]
HDLI_ADF_H_3	[3224522, 17040296]	[3332169, 16607008]	[4459454, 16362069]	[1925450, 16090551]	[2106896, 16000791]	[1828277, 15952094]	[5430658, 15715213]	[3229446, 15572524]	[2055592, 15426761]	[2045287, 15296561]	[1679295, 14945938]	[2875987, 14868897]	[2078647, 14774369]	[1649370, 14615999]	[1653094, 14605406]	[1676382, 13916383]	[29414, 13819298]	[2544814, 13774036]	[2333509, 13550656]	[4300035, 13236624]	[871726, 12933853]	[1761644, 12861081]	[1500711, 12594674]	[854674, 11704087]	[885266, 11326783]	[1036746, 11199261]	[1031499, 9960137]	[593998, 9839934]	[1001691, 8262369]	[949359, 8178468]	[584953, 7379297]	[441566, 6166334]	[0, 0]
HDLI_ADM_A_18	[1705590, 17040296]	[3895769, 16607008]	[3488904, 16362069]	[2130273, 16090551]	[2265530, 16000791]	[2132734, 15952094]	[2457205, 15715213]	[2793604, 15572524]	[2089811, 15426761]	[1801120, 15296561]	[1786230, 14945938]	[2392642, 14868897]	[2485277, 14774369]	[2668737, 14615999]	[1724371, 14605406]	[1362751, 13916383]	[13168, 13819298]	[2100587, 13774036]	[3140340, 13550656]	[3579053, 13236624]	[920426, 12933853]	[1468294, 12861081]	[1040280, 12594674]	[1155456, 11704087]	[853035, 11326783]	[1379292, 11199261]	[834975, 9960137]	[462091, 9839934]	[1057066, 8262369]	[1610634, 8178468]	[888844, 7379297]	[730492, 6166334]	[0, 0]
HDLI_ADM_A_4	[2541052, 17040296]	[4137707, 16607008]	[4574147, 16362069]	[2233556, 16090551]	[2919358, 16000791]	[2556462, 15952094]	[2493146, 15715213]	[3106788, 15572524]	[2333175, 15426761]	[2517660, 15296561]	[2548517, 14945938]	[2691734, 14868897]	[2993190, 14774369]	[2851871, 14615999]	[2235829, 14605406]	[1713174, 13916383]	[16165, 13819298]	[2187323, 13774036]	[3811502, 13550656]	[4914895, 13236624]	[1079182, 12933853]	[1904955, 12861081]	[2420442, 12594674]	[1305562, 11704087]	[1248226, 11326783]	[3146117, 11199261]	[908595, 9960137]	[1841889, 9839934]	[1186602, 8262369]	[1841300, 8178468]	[1059883, 7379297]	[2011205, 6166334]	[0, 0]
HDLI_ADM_H_18	[3446418, 17040296]	[3578049, 16607008]	[6230115, 16362069]	[1918330, 16090551]	[2317720, 16000791]	[1877622, 15952094]	[7718390, 15715213]	[3369981, 15572524]	[2161116, 15426761]	[2339593, 15296561]	[1812949, 14945938]	[3190410, 14868897]	[2332193, 14774369]	[1876511, 14615999]	[1767147, 14605406]	[1758043, 13916383]	[19647, 13819298]	[2889006, 13774036]	[2291587, 13550656]	[4247535, 13236624]	[1010477, 12933853]	[1943524, 12861081]	[1531013, 12594674]	[1013245, 11704087]	[1060626, 11326783]	[1111982, 11199261]	[1164050, 9960137]	[606957, 9839934]	[965333, 8262369]	[1100275, 8178468]	[605194, 7379297]	[458200, 6166334]	[0, 0]
HDLI_ADM_H_4	[3996517, 17040296]	[3859931, 16607008]	[5716200, 16362069]	[2095172, 16090551]	[2733763, 16000791]	[2155427, 15952094]	[6570960, 15715213]	[3661749, 15572524]	[2258828, 15426761]	[2437459, 15296561]	[2076766, 14945938]	[3836682, 14868897]	[2593983, 14774369]	[1911835, 14615999]	[1990797, 14605406]	[2035046, 13916383]	[18311, 13819298]	[2647318, 13774036]	[2601302, 13550656]	[4514831, 13236624]	[1000584, 12933853]	[2041685, 12861081]	[1860059, 12594674]	[1215028, 11704087]	[1134548, 11326783]	[1168339, 11199261]	[1197597, 9960137]	[696691, 9839934]	[1040503, 8262369]	[1211227, 8178468]	[701441, 7379297]	[497320, 6166334]	[0, 0]
HDLI_III_A_1	[3551142, 17040296]	[9510132, 16607008]	[5294214, 16362069]	[3260500, 16090551]	[5411689, 16000791]	[3711617, 15952094]	[7554267, 15715213]	[3670632, 15572524]	[2758068, 15426761]	[2396164, 15296561]	[2485327, 14945938]	[4945311, 14868897]	[6949628, 14774369]	[4371674, 14615999]	[3295665, 14605406]	[4634813, 13916383]	[82310, 13819298]	[2586462, 13774036]	[4882428, 13550656]	[4969613, 13236624]	[1504258, 12933853]	[2336994, 12861081]	[2015627, 12594674]	[3787994, 11704087]	[1774338, 11326783]	[2175193, 11199261]	[1710226, 9960137]	[687295, 9839934]	[1721199, 8262369]	[1608966, 8178468]	[1059520, 7379297]	[919612, 6166334]	[0, 0]
HDLI_III_A_18	[1798760, 17040296]	[4112005, 16607008]	[2303979, 16362069]	[2223382, 16090551]	[2163889, 16000791]	[1604644, 15952094]	[2089185, 15715213]	[1743549, 15572524]	[1335545, 15426761]	[1161290, 15296561]	[1376112, 14945938]	[2109803, 14868897]	[2524290, 14774369]	[1783525, 14615999]	[1350236, 14605406]	[1547325, 13916383]	[10807, 13819298]	[1285499, 13774036]	[3876339, 13550656]	[3410969, 13236624]	[671754, 12933853]	[1441379, 12861081]	[1598454, 12594674]	[1356175, 11704087]	[709362, 11326783]	[1109134, 11199261]	[1170400, 9960137]	[394437, 9839934]	[765157, 8262369]	[716417, 8178468]	[491974, 7379297]	[438912, 6166334]	[0, 0]
HDLI_III_A_3	[6373078, 17040296]	[5228679, 16607008]	[6102435, 16362069]	[3575236, 16090551]	[7308332, 16000791]	[2159177, 15952094]	[4234088, 15715213]	[4559020, 15572524]	[2100836, 15426761]	[5868115, 15296561]	[1899235, 14945938]	[5103518, 14868897]	[8650123, 14774369]	[5187414, 14615999]	[2683661, 14605406]	[9999784, 13916383]	[137238, 13819298]	[2128025, 13774036]	[3258088, 13550656]	[4190329, 13236624]	[1635836, 12933853]	[1935948, 12861081]	[1673907, 12594674]	[8212426, 11704087]	[2928912, 11326783]	[1755533, 11199261]	[1206412, 9960137]	[724363, 9839934]	[1076835, 8262369]	[1148463, 8178468]	[1376016, 7379297]	[818265, 6166334]	[0, 0]
HDLI_III_A_4	[2226278, 17040296]	[3224135, 16607008]	[2832421, 16362069]	[1834728, 16090551]	[2901306, 16000791]	[1493809, 15952094]	[3402047, 15715213]	[2292848, 15572524]	[1606776, 15426761]	[1921925, 15296561]	[1652123, 14945938]	[2167896, 14868897]	[3624023, 14774369]	[1727821, 14615999]	[1417291, 14605406]	[1152756, 13916383]	[9137, 13819298]	[1555834, 13774036]	[2804920, 13550656]	[2359893, 13236624]	[673514, 12933853]	[1288004, 12861081]	[956925, 12594674]	[1885722, 11704087]	[775933, 11326783]	[1069112, 11199261]	[1637012, 9960137]	[520019, 9839934]	[613250, 8262369]	[844601, 8178468]	[621290, 7379297]	[480901, 6166334]	[0, 0]
HDLI_III_H_1	[2856154, 17040296]	[7633651, 16607008]	[6302103, 16362069]	[3183014, 16090551]	[4736272, 16000791]	[3771433, 15952094]	[3736450, 15715213]	[4554021, 15572524]	[2650396, 15426761]	[3125101, 15296561]	[2504875, 14945938]	[4862113, 14868897]	[4267388, 14774369]	[3579410, 14615999]	[3308486, 14605406]	[2217837, 13916383]	[80307, 13819298]	[3638428, 13774036]	[4015513, 13550656]	[5094844, 13236624]	[1514888, 12933853]	[2312888, 12861081]	[1843252, 12594674]	[1797022, 11704087]	[1798437, 11326783]	[2380339, 11199261]	[1266110, 9960137]	[894529, 9839934]	[2048604, 8262369]	[2987434, 8178468]	[1042366, 7379297]	[973489, 6166334]	[0, 0]
HDLI_III_H_18	[1575255, 17040296]	[4081427, 16607008]	[3440170, 16362069]	[1747722, 16090551]	[2444050, 16000791]	[2085270, 15952094]	[1949415, 15715213]	[2438121, 15572524]	[1404072, 15426761]	[1644673, 15296561]	[1322988, 14945938]	[2534658, 14868897]	[2230074, 14774369]	[1872581, 14615999]	[1800013, 14605406]	[1233703, 13916383]	[13916, 13819298]	[1931290, 13774036]	[2101319, 13550656]	[2508009, 13236624]	[865963, 12933853]	[1281883, 12861081]	[1073656, 12594674]	[915810, 11704087]	[977720, 11326783]	[1274961, 11199261]	[675312, 9960137]	[513560, 9839934]	[1162124, 8262369]	[1345853, 8178468]	[587863, 7379297]	[507423, 6166334]	[0, 0]
HDLI_III_H_3	[4330662, 17040296]	[3182171, 16607008]	[4614405, 16362069]	[1670636, 16090551]	[2454568, 16000791]	[1658568, 15952094]	[4114183, 15715213]	[3592940, 15572524]	[3287190, 15426761]	[5047717, 15296561]	[1421897, 14945938]	[3215303, 14868897]	[3022901, 14774369]	[2232045, 14615999]	[1731301, 14605406]	[2201288, 13916383]	[39902, 13819298]	[1610536, 13774036]	[1684881, 13550656]	[2751286, 13236624]	[872442, 12933853]	[1623252, 12861081]	[1226330, 12594674]	[3841762, 11704087]	[1426708, 11326783]	[1157271, 11199261]	[621407, 9960137]	[453708, 9839934]	[710268, 8262369]	[724036, 8178468]	[851546, 7379297]	[455131, 6166334]	[0, 0]
HDLI_III_H_4	[1728502, 17040296]	[3431548, 16607008]	[2572131, 16362069]	[1447222, 16090551]	[2639130, 16000791]	[1443258, 15952094]	[2088208, 15715213]	[2042896, 15572524]	[1387260, 15426761]	[1568485, 15296561]	[1296299, 14945938]	[2294650, 14868897]	[2450311, 14774369]	[1777828, 14615999]	[1596944, 14605406]	[1098824, 13916383]	[12649, 13819298]	[2154450, 13774036]	[2123563, 13550656]	[2418202, 13236624]	[699976, 12933853]	[1125960, 12861081]	[938777, 12594674]	[1558692, 11704087]	[929145, 11326783]	[1049670, 11199261]	[725731, 9960137]	[463804, 9839934]	[996439, 8262369]	[1251565, 8178468]	[504787, 7379297]	[450117, 6166334]	[0, 0]
HDLI_PF_A_1	[1672962, 17040296]	[3938939, 16607008]	[3043456, 16362069]	[2555499, 16090551]	[2086751, 16000791]	[2220108, 15952094]	[1828628, 15715213]	[2747990, 15572524]	[1645308, 15426761]	[1750634, 15296561]	[1637094, 14945938]	[2270064, 14868897]	[1984979, 14774369]	[1532086, 14615999]	[1297979, 14605406]	[970781, 13916383]	[35128, 13819298]	[1928168, 13774036]	[4971689, 13550656]	[2143290, 13236624]	[1094886, 12933853]	[1710766, 12861081]	[860557, 12594674]	[1735380, 11704087]	[563114, 11326783]	[1155081, 11199261]	[1687380, 9960137]	[396017, 9839934]	[939110, 8262369]	[1161185, 8178468]	[771858, 7379297]	[636735, 6166334]	[0, 0]
HDLI_PF_A_18	[2393410, 17040296]	[4376004, 16607008]	[3277257, 16362069]	[3349641, 16090551]	[2323696, 16000791]	[2628813, 15952094]	[1758545, 15715213]	[4511221, 15572524]	[1998076, 15426761]	[1519571, 15296561]	[1301219, 14945938]	[3392264, 14868897]	[1897749, 14774369]	[1938919, 14615999]	[1458440, 14605406]	[1278519, 13916383]	[41154, 13819298]	[1961774, 13774036]	[6597870, 13550656]	[2734182, 13236624]	[1115546, 12933853]	[1629971, 12861081]	[1415941, 12594674]	[1556724, 11704087]	[918650, 11326783]	[1405554, 11199261]	[3594893, 9960137]	[417029, 9839934]	[834924, 8262369]	[1342035, 8178468]	[732563, 7379297]	[705110, 6166334]	[0, 0]
HDLI_PF_A_3	[1407156, 17040296]	[4570185, 16607008]	[3222080, 16362069]	[2162655, 16090551]	[1562490, 16000791]	[1829564, 15952094]	[1625717, 15715213]	[2880918, 15572524]	[1542747, 15426761]	[1338412, 15296561]	[1590301, 14945938]	[2040408, 14868897]	[1741861, 14774369]	[1435044, 14615999]	[1182140, 14605406]	[1041646, 13916383]	[28463, 13819298]	[7295670, 13774036]	[3028029, 13550656]	[1979855, 13236624]	[965039, 12933853]	[1216878, 12861081]	[742532, 12594674]	[832293, 11704087]	[537350, 11326783]	[1128562, 11199261]	[948877, 9960137]	[429761, 9839934]	[3239383, 8262369]	[1053093, 8178468]	[627276, 7379297]	[651819, 6166334]	[0, 0]
HDLI_PF_A_4	[3524453, 17040296]	[8570751, 16607008]	[5572368, 16362069]	[4833320, 16090551]	[4447544, 16000791]	[4471661, 15952094]	[4056511, 15715213]	[5880560, 15572524]	[3958330, 15426761]	[4054132, 15296561]	[3791088, 14945938]	[5070472, 14868897]	[4227669, 14774369]	[2891412, 14615999]	[2962770, 14605406]	[2097214, 13916383]	[86905, 13819298]	[8880170, 13774036]	[7411125, 13550656]	[3963452, 13236624]	[2360495, 12933853]	[3546261, 12861081]	[1975579, 12594674]	[3548952, 11704087]	[1712479, 11326783]	[2125544, 11199261]	[3822906, 9960137]	[1060766, 9839934]	[4138761, 8262369]	[2171418, 8178468]	[1364203, 7379297]	[1139523, 6166334]	[0, 0]
HDLI_PF_H_18	[2065692, 17040296]	[3411776, 16607008]	[4826945, 16362069]	[3654661, 16090551]	[1510936, 16000791]	[1859651, 15952094]	[2268381, 15715213]	[3284609, 15572524]	[1818866, 15426761]	[2103442, 15296561]	[2743756, 14945938]	[1810560, 14868897]	[1560274, 14774369]	[1571764, 14615999]	[1285890, 14605406]	[1470140, 13916383]	[23350, 13819298]	[3550729, 13774036]	[1594516, 13550656]	[2549830, 13236624]	[823710, 12933853]	[1153292, 12861081]	[1134737, 12594674]	[539563, 11704087]	[679358, 11326783]	[1122339, 11199261]	[755605, 9960137]	[382773, 9839934]	[1648664, 8262369]	[830639, 8178468]	[954200, 7379297]	[627033, 6166334]	[0, 0]
HDLI_PF_H_3	[2040970, 17040296]	[5564611, 16607008]	[4409082, 16362069]	[3304116, 16090551]	[2017206, 16000791]	[2621998, 15952094]	[2116412, 15715213]	[3578682, 15572524]	[2112500, 15426761]	[1714766, 15296561]	[2235073, 14945938]	[2782048, 14868897]	[2376320, 14774369]	[1949604, 14615999]	[1810436, 14605406]	[1339515, 13916383]	[28570, 13819298]	[15300697, 13774036]	[2159701, 13550656]	[2857310, 13236624]	[1206742, 12933853]	[1792402, 12861081]	[1163988, 12594674]	[723723, 11704087]	[860251, 11326783]	[1536514, 11199261]	[1119334, 9960137]	[705437, 9839934]	[5573938, 8262369]	[1507774, 8178468]	[782249, 7379297]	[765389, 6166334]	[0, 0]
HDLI_PF_H_4	[2211245, 17040296]	[5433080, 16607008]	[3887454, 16362069]	[2100051, 16090551]	[1820010, 16000791]	[2420254, 15952094]	[2063245, 15715213]	[3091843, 15572524]	[1919466, 15426761]	[1624817, 15296561]	[1689717, 14945938]	[2733226, 14868897]	[2968774, 14774369]	[2007617, 14615999]	[1943047, 14605406]	[1268246, 13916383]	[26419, 13819298]	[6249285, 13774036]	[1874477, 13550656]	[2291597, 13236624]	[1171958, 12933853]	[1694212, 12861081]	[1285279, 12594674]	[670171, 11704087]	[844522, 11326783]	[1299116, 11199261]	[1111223, 9960137]	[663200, 9839934]	[2328359, 8262369]	[1006935, 8178468]	[612324, 7379297]	[580745, 6166334]	[0, 0]
HDLI_PM_A_1	[2413145, 17040296]	[7826118, 16607008]	[4661361, 16362069]	[3529983, 16090551]	[2967302, 16000791]	[3322370, 15952094]	[2938848, 15715213]	[4525495, 15572524]	[2528805, 15426761]	[3294591, 15296561]	[2358410, 14945938]	[4069681, 14868897]	[3720395, 14774369]	[2301705, 14615999]	[2178526, 14605406]	[1683483, 13916383]	[42570, 13819298]	[5974195, 13774036]	[6424872, 13550656]	[3229381, 13236624]	[1954532, 12933853]	[2879991, 12861081]	[1484962, 12594674]	[2200483, 11704087]	[963459, 11326783]	[1711799, 11199261]	[1771087, 9960137]	[769734, 9839934]	[2875580, 8262369]	[1542160, 8178468]	[1005033, 7379297]	[860651, 6166334]	[0, 0]
HDLI_PM_A_18	[2521220, 17040296]	[5148113, 16607008]	[3453864, 16362069]	[3637512, 16090551]	[2973673, 16000791]	[4032251, 15952094]	[2255423, 15715213]	[4742558, 15572524]	[2556522, 15426761]	[1892142, 15296561]	[1420579, 14945938]	[4199597, 14868897]	[2297431, 14774369]	[2222832, 14615999]	[2134005, 14605406]	[1315958, 13916383]	[38704, 13819298]	[2250984, 13774036]	[5212929, 13550656]	[3185711, 13236624]	[1345616, 12933853]	[1913221, 12861081]	[1423451, 12594674]	[2908158, 11704087]	[1031446, 11326783]	[1899450, 11199261]	[2837642, 9960137]	[518988, 9839934]	[828964, 8262369]	[1909110, 8178468]	[760083, 7379297]	[867205, 6166334]	[0, 0]
HDLI_PM_A_3	[3039415, 17040296]	[6551391, 16607008]	[5162971, 16362069]	[4738879, 16090551]	[3079898, 16000791]	[3923516, 15952094]	[3610862, 15715213]	[5488479, 15572524]	[2994847, 15426761]	[3011676, 15296561]	[2437921, 14945938]	[3910298, 14868897]	[3671795, 14774369]	[2585156, 14615999]	[2397190, 14605406]	[1829743, 13916383]	[53305, 13819298]	[4306398, 13774036]	[6414720, 13550656]	[3878475, 13236624]	[1826695, 12933853]	[3106016, 12861081]	[1562504, 12594674]	[2620351, 11704087]	[981068, 11326783]	[1925625, 11199261]	[2100147, 9960137]	[862220, 9839934]	[2033912, 8262369]	[1952737, 8178468]	[1019089, 7379297]	[1076437, 6166334]	[0, 0]
HDLI_PM_A_4	[3885695, 17040296]	[8102364, 16607008]	[7123197, 16362069]	[5581944, 16090551]	[4527237, 16000791]	[5427510, 15952094]	[4681859, 15715213]	[8969135, 15572524]	[4677465, 15426761]	[3308480, 15296561]	[3877351, 14945938]	[5540191, 14868897]	[4331331, 14774369]	[3961475, 14615999]	[3165445, 14605406]	[2708576, 13916383]	[68464, 13819298]	[5962436, 13774036]	[6893572, 13550656]	[5653997, 13236624]	[2168492, 12933853]	[3246399, 12861081]	[2419075, 12594674]	[2357082, 11704087]	[1705557, 11326783]	[2703874, 11199261]	[2991214, 9960137]	[990457, 9839934]	[2548094, 8262369]	[1906546, 8178468]	[1825380, 7379297]	[1439618, 6166334]	[0, 0]
HDLI_PM_H_1	[2371894, 17040296]	[7944122, 16607008]	[5168476, 16362069]	[2274385, 16090551]	[2145832, 16000791]	[3124945, 15952094]	[2530888, 15715213]	[3753576, 15572524]	[2181075, 15426761]	[1946075, 15296561]	[1932074, 14945938]	[3427378, 14868897]	[4528080, 14774369]	[2232901, 14615999]	[2377111, 14605406]	[1504779, 13916383]	[24895, 13819298]	[5579148, 13774036]	[2314958, 13550656]	[2850716, 13236624]	[1333963, 12933853]	[1996437, 12861081]	[1373745, 12594674]	[752315, 11704087]	[925729, 11326783]	[1538337, 11199261]	[1336476, 9960137]	[794164, 9839934]	[1951125, 8262369]	[1312987, 8178468]	[713748, 7379297]	[706805, 6166334]	[0, 0]
HDLI_PM_H_18	[2250007, 17040296]	[4386855, 16607008]	[5618873, 16362069]	[4992871, 16090551]	[1895613, 16000791]	[2158277, 15952094]	[3105319, 15715213]	[4517926, 15572524]	[2375716, 15426761]	[2804496, 15296561]	[3168989, 14945938]	[2252737, 14868897]	[1900110, 14774369]	[2058932, 14615999]	[1567011, 14605406]	[1824459, 13916383]	[23717, 13819298]	[5381247, 13774036]	[1921056, 13550656]	[3829717, 13236624]	[1048818, 12933853]	[1476712, 12861081]	[1356433, 12594674]	[678615, 11704087]	[837005, 11326783]	[1355819, 11199261]	[860094, 9960137]	[496165, 9839934]	[2238534, 8262369]	[958311, 8178468]	[1316823, 7379297]	[715137, 6166334]	[0, 0]
HDLI_PM_H_3	[2144882, 17040296]	[4659890, 16607008]	[3655729, 16362069]	[2567044, 16090551]	[1783937, 16000791]	[2348900, 15952094]	[1958038, 15715213]	[3180508, 15572524]	[1865134, 15426761]	[1531433, 15296561]	[1895683, 14945938]	[2570829, 14868897]	[2217076, 14774369]	[1799689, 14615999]	[1658461, 14605406]	[1252981, 13916383]	[23684, 13819298]	[11794918, 13774036]	[1857677, 13550656]	[2453592, 13236624]	[1087882, 12933853]	[1661045, 12861081]	[1090949, 12594674]	[580242, 11704087]	[790715, 11326783]	[1271315, 11199261]	[1109311, 9960137]	[635850, 9839934]	[4454476, 8262369]	[1031669, 8178468]	[614280, 7379297]	[623864, 6166334]	[0, 0]
HDLI_PM_H_4	[2667107, 17040296]	[4379272, 16607008]	[5449001, 16362069]	[4221660, 16090551]	[2027046, 16000791]	[2502698, 15952094]	[3298439, 15715213]	[4534996, 15572524]	[2618352, 15426761]	[2879346, 15296561]	[3348914, 14945938]	[2497556, 14868897]	[2189723, 14774369]	[2097766, 14615999]	[1835628, 14605406]	[1972843, 13916383]	[17580, 13819298]	[5389494, 13774036]	[2136038, 13550656]	[3485776, 13236624]	[1163622, 12933853]	[1666301, 12861081]	[1498262, 12594674]	[703541, 11704087]	[960669, 11326783]	[1402355, 11199261]	[1075619, 9960137]	[620592, 9839934]	[2133943, 8262369]	[1055689, 8178468]	[1304706, 7379297]	[827790, 6166334]	[0, 0]
