Sample	LR999924.1	LR999925.1	LR999926.1	LR999927.1	LR999928.1	LR999929.1	LR999930.1	LR999931.1	LR999932.1	LR999933.1	LR999934.1	LR999935.1	LR999936.1	LR999937.1	LR999938.1	LR999939.1	LR999940.1	LR999941.1	LR999942.1	LR999943.1	LR999944.1	LR999945.1	LR999946.1	LR999947.1	LR999948.1	LR999949.1	LR999950.1	LR999951.1	LR999952.1	LR999953.1	LR999954.1	LR999955.1	*
HDAL_III_A_1	[2076882, 17040296]	[2988574, 16607008]	[2342579, 16362069]	[1146484, 16090551]	[2330499, 16000791]	[1337333, 15952094]	[2112683, 15715213]	[2074860, 15572524]	[1190481, 15426761]	[1825346, 15296561]	[1539759, 14945938]	[1584676, 14868897]	[2804960, 14774369]	[1372768, 14615999]	[1039740, 14605406]	[890443, 13916383]	[6600, 13819298]	[1342977, 13774036]	[4902104, 13550656]	[4299217, 13236624]	[602226, 12933853]	[1025184, 12861081]	[1137438, 12594674]	[1477170, 11704087]	[718255, 11326783]	[807862, 11199261]	[889436, 9960137]	[315575, 9839934]	[551925, 8262369]	[866719, 8178468]	[459723, 7379297]	[452489, 6166334]	[0, 0]
HDAL_III_A_3	[1457355, 17040296]	[2805161, 16607008]	[2878761, 16362069]	[1294118, 16090551]	[2196314, 16000791]	[1340275, 15952094]	[1793049, 15715213]	[2332760, 15572524]	[1026931, 15426761]	[1736916, 15296561]	[1106507, 14945938]	[1667002, 14868897]	[2715873, 14774369]	[1581488, 14615999]	[961304, 14605406]	[1006982, 13916383]	[9422, 13819298]	[1343632, 13774036]	[1737919, 13550656]	[2821620, 13236624]	[798389, 12933853]	[924985, 12861081]	[931844, 12594674]	[1594070, 11704087]	[641844, 11326783]	[982414, 11199261]	[449737, 9960137]	[290967, 9839934]	[612783, 8262369]	[745072, 8178468]	[571794, 7379297]	[550999, 6166334]	[0, 0]
HDAL_III_A_4	[3115455, 17040296]	[4952336, 16607008]	[3649946, 16362069]	[3577327, 16090551]	[4972699, 16000791]	[2041684, 15952094]	[5375809, 15715213]	[2504153, 15572524]	[2205200, 15426761]	[2160012, 15296561]	[2366072, 14945938]	[3499431, 14868897]	[5646888, 14774369]	[2719702, 14615999]	[2230859, 14605406]	[2094457, 13916383]	[35637, 13819298]	[1829025, 13774036]	[5725644, 13550656]	[2693046, 13236624]	[1078710, 12933853]	[1933321, 12861081]	[1063045, 12594674]	[3508110, 11704087]	[1175478, 11326783]	[1456133, 11199261]	[2351690, 9960137]	[607699, 9839934]	[897090, 8262369]	[1155816, 8178468]	[915263, 7379297]	[655628, 6166334]	[0, 0]
HDAL_III_H_1	[3796934, 17040296]	[5456891, 16607008]	[3264381, 16362069]	[2107306, 16090551]	[5213058, 16000791]	[1807783, 15952094]	[4989967, 15715213]	[3170787, 15572524]	[1892270, 15426761]	[3047712, 15296561]	[2342946, 14945938]	[3295561, 14868897]	[5949123, 14774369]	[3122071, 14615999]	[2347556, 14605406]	[1872801, 13916383]	[41225, 13819298]	[5259328, 13774036]	[4549553, 13550656]	[4836198, 13236624]	[680192, 12933853]	[1387974, 12861081]	[1303187, 12594674]	[4269446, 11704087]	[1737464, 11326783]	[1407787, 11199261]	[1094742, 9960137]	[727261, 9839934]	[2325756, 8262369]	[1625680, 8178468]	[735470, 7379297]	[555831, 6166334]	[0, 0]
HDAL_III_H_18	[2568039, 17040296]	[4990479, 16607008]	[4089115, 16362069]	[2551352, 16090551]	[3677984, 16000791]	[2329062, 15952094]	[4212869, 15715213]	[2920218, 15572524]	[2027145, 15426761]	[2480400, 15296561]	[2071894, 14945938]	[3212174, 14868897]	[3949606, 14774369]	[2642193, 14615999]	[2043412, 14605406]	[1523232, 13916383]	[29663, 13819298]	[2633499, 13774036]	[3576553, 13550656]	[3695313, 13236624]	[964407, 12933853]	[1637065, 12861081]	[1371260, 12594674]	[2408375, 11704087]	[1197322, 11326783]	[1623549, 11199261]	[1481612, 9960137]	[767826, 9839934]	[1173388, 8262369]	[1597743, 8178468]	[803938, 7379297]	[713122, 6166334]	[0, 0]
HDAL_III_H_3	[2971304, 17040296]	[3382329, 16607008]	[2317691, 16362069]	[2122176, 16090551]	[4313797, 16000791]	[1450699, 15952094]	[3202723, 15715213]	[2654686, 15572524]	[1420707, 15426761]	[2972398, 15296561]	[2327307, 14945938]	[3248566, 14868897]	[6575055, 14774369]	[2814496, 14615999]	[2165101, 14605406]	[2465323, 13916383]	[33640, 13819298]	[4003067, 13774036]	[2286222, 13550656]	[3379958, 13236624]	[595487, 12933853]	[1130242, 12861081]	[1229720, 12594674]	[4622160, 11704087]	[1880831, 11326783]	[988297, 11199261]	[966896, 9960137]	[441866, 9839934]	[1432387, 8262369]	[1561381, 8178468]	[799932, 7379297]	[477927, 6166334]	[0, 0]
HDAL_III_H_4	[1534605, 17040296]	[3337406, 16607008]	[2859684, 16362069]	[1669752, 16090551]	[2349439, 16000791]	[1657123, 15952094]	[2601263, 15715213]	[2100538, 15572524]	[1413384, 15426761]	[1510880, 15296561]	[1314187, 14945938]	[2357666, 14868897]	[2195213, 14774369]	[1699159, 14615999]	[1491267, 14605406]	[1056654, 13916383]	[13570, 13819298]	[1822747, 13774036]	[2101229, 13550656]	[2308781, 13236624]	[759076, 12933853]	[1169760, 12861081]	[932509, 12594674]	[1191504, 11704087]	[774189, 11326783]	[1118996, 11199261]	[695465, 9960137]	[515659, 9839934]	[880105, 8262369]	[1133091, 8178468]	[546216, 7379297]	[493294, 6166334]	[0, 0]
HDAL_PF_A_1	[2254068, 17040296]	[4621167, 16607008]	[2797058, 16362069]	[2576882, 16090551]	[2384017, 16000791]	[2582390, 15952094]	[2207756, 15715213]	[3198146, 15572524]	[2189757, 15426761]	[2502172, 15296561]	[2075526, 14945938]	[2909950, 14868897]	[2414615, 14774369]	[1539872, 14615999]	[1654135, 14605406]	[1172488, 13916383]	[23543, 13819298]	[2585243, 13774036]	[4188895, 13550656]	[2483437, 13236624]	[1235455, 12933853]	[1812445, 12861081]	[1028945, 12594674]	[2199126, 11704087]	[803731, 11326783]	[1166580, 11199261]	[1930178, 9960137]	[539852, 9839934]	[1331037, 8262369]	[1309598, 8178468]	[645076, 7379297]	[616532, 6166334]	[0, 0]
HDAL_PF_A_18	[2176582, 17040296]	[4003207, 16607008]	[2658084, 16362069]	[2821873, 16090551]	[2591176, 16000791]	[2869210, 15952094]	[2323465, 15715213]	[4030920, 15572524]	[2147501, 15426761]	[2042086, 15296561]	[1365583, 14945938]	[3249010, 14868897]	[2306452, 14774369]	[1556446, 14615999]	[1629362, 14605406]	[1189976, 13916383]	[30925, 13819298]	[2192799, 13774036]	[3414183, 13550656]	[2711781, 13236624]	[1280161, 12933853]	[1812780, 12861081]	[1168287, 12594674]	[1846957, 11704087]	[853279, 11326783]	[1213239, 11199261]	[2581540, 9960137]	[505724, 9839934]	[890809, 8262369]	[1497378, 8178468]	[638827, 7379297]	[652451, 6166334]	[0, 0]
HDAL_PF_A_3	[1845208, 17040296]	[4845361, 16607008]	[3196518, 16362069]	[3163453, 16090551]	[2248947, 16000791]	[2358365, 15952094]	[1968123, 15715213]	[2832133, 15572524]	[1931723, 15426761]	[1954985, 15296561]	[1587512, 14945938]	[2673181, 14868897]	[1946394, 14774369]	[1515923, 14615999]	[1454713, 14605406]	[993867, 13916383]	[30006, 13819298]	[1851317, 13774036]	[6568666, 13550656]	[2082304, 13236624]	[1823971, 12933853]	[1749480, 12861081]	[1092514, 12594674]	[1203264, 11704087]	[611908, 11326783]	[1012911, 11199261]	[1386105, 9960137]	[556178, 9839934]	[876274, 8262369]	[1280734, 8178468]	[551041, 7379297]	[605985, 6166334]	[0, 0]
