"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vcard_DToL00007",934.30570898144,0.269793469392649,0.408443482273593,0.660540518092855,0.508907025840355,0.941389396953851
"Vcard_DToL00010",5129.32433453365,-0.277890363675634,0.499649874786458,-0.556170185761379,0.578094518617717,0.948637247222941
"Vcard_DToL00011",312.218925393585,-0.217605781338096,0.645169166852773,-0.337284843290959,0.735902184299296,0.968340759727348
"Vcard_DToL00012",626.21450557454,0.214951667682502,0.485961139028839,0.442322750564106,0.658255670198041,0.955717748845665
"Vcard_DToL00013",616.421351332244,0.344023250492935,0.555710199217723,0.619069527565301,0.535870556786739,0.946390057313752
"Vcard_DToL00014",17501.181706243,-0.0513959685018071,0.356994465121452,-0.143968530392542,0.885525319820299,0.987398108209145
"Vcard_DToL00015",1653.64971502203,-0.0462742604160087,0.417406487560447,-0.110861382836814,0.911726268812565,0.991734022053226
"Vcard_DToL00016",691.566948245767,-0.139634224580223,0.341036808704727,-0.409440333172715,0.682216545688678,0.959202695417589
"Vcard_DToL00017",169.553620254436,1.20600439333612,0.769783860028306,1.56667924070501,0.117189685489286,0.929824375760405
"Vcard_DToL00018",172.655293867808,0.559454380054353,0.407443759380555,1.37308368866639,0.169726331258572,0.929824375760405
"Vcard_DToL00020",116.402569194847,0.102740806717232,0.379698841615233,0.270584988566659,0.786710242651683,0.977144355881301
"Vcard_DToL00021",2987.28604533417,0.160005554071439,0.379317506460664,0.42182486003459,0.673152858672573,0.957191960527142
"Vcard_DToL00022",22.3610781931219,0.533536588881982,0.749631422291229,0.711731889854938,0.476630816228031,0.939249168288569
"Vcard_DToL00023",97.6468000955472,0.930413268190406,0.660105545297826,1.40949167116998,0.15868983452007,0.929824375760405
"Vcard_DToL00024",2312.00767622743,0.199818947608404,0.343477002574322,0.581753497645499,0.56073273103596,0.947672818666873
"Vcard_DToL00026",1746.71772825412,0.29114345282954,0.37033497216382,0.786162460240861,0.431772315678898,0.93164934532227
"Vcard_DToL00028",285.958217020517,0.449720226531949,0.293355332380643,1.53302216422101,0.125270393939737,0.929824375760405
"Vcard_DToL00029",101.922699504025,-0.497481537941034,0.598815775364772,-0.830775604797635,0.406100406425248,0.930670668745543
"Vcard_DToL00033",379.095876190253,-0.0714342887987041,0.369611570947918,-0.193268540309767,0.846748663005816,0.983017484622536
"Vcard_DToL00034",2130.56228671102,-0.173410879268267,0.248958314733406,-0.696545843242722,0.486087058214465,0.939249168288569
"Vcard_DToL00035",40185.4722073476,0.206216742708809,0.247623615443264,0.83278302168259,0.404967111847384,0.930670668745543
"Vcard_DToL00037",1834.89711945763,0.297328291617546,0.303425133386485,0.979906602657157,0.327132223466473,0.929824375760405
"Vcard_DToL00039",87.5465176923678,0.245053057945633,0.367099349853417,0.667538795815037,0.504428037282457,0.940464722128809
"Vcard_DToL00040",340.172464917415,0.0649796639890355,0.321610953677232,0.202044312378269,0.839882082201249,0.982414038535401
