"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vcard_DToL00007",74.049786981333,-0.833590417157158,0.995952684762051,-0.836977930689865,0.402604973308237,0.999784095167442
"Vcard_DToL00010",3809.3926794754,0.626380773511428,0.874333328217152,0.716409581216213,0.473738480511253,0.999784095167442
"Vcard_DToL00011",424.340778768033,1.09532130977272,0.823736427249214,1.32969876472555,0.183617542010532,0.999784095167442
"Vcard_DToL00012",807.215619507205,1.9652790924352,0.808388023339636,2.43110862072917,0.0150527011256496,0.546654960308336
"Vcard_DToL00013",489.379533083617,1.40219631795917,0.576985058612726,2.43021252808616,0.0150899714419965,0.546654960308336
"Vcard_DToL00014",6583.32802167619,0.398368589508958,0.856913961442562,0.464887500302047,0.642012022281168,0.999784095167442
"Vcard_DToL00015",511.257605382244,0.947879493264087,1.01877753096901,0.930408714807946,0.352159508083679,0.999784095167442
"Vcard_DToL00016",318.261738394203,-0.309977623998319,0.711852712586889,-0.435451910932324,0.663234437499628,0.999784095167442
"Vcard_DToL00017",52.436401251572,0.1426543697714,0.859766234477594,0.165922275207841,0.868218117389434,0.999784095167442
"Vcard_DToL00018",72.279155613231,-0.275385506873151,0.83962235002889,-0.327987346768074,0.742921229735567,0.999784095167442
"Vcard_DToL00020",158.971267467583,-0.618128055627777,0.720007952943421,-0.85850170557262,0.390615489099687,0.999784095167442
"Vcard_DToL00021",1717.77655017699,0.123509426978811,0.566222338194625,0.218128849124207,0.82732872020704,0.999784095167442
"Vcard_DToL00022",16.934234594509,0.353268419400255,1.25914436994317,0.280562283271932,0.779046148066117,0.999784095167442
"Vcard_DToL00023",23.973106632046,-0.102079080828367,1.1333441500602,-0.0900689175683697,0.928232448987878,0.999784095167442
"Vcard_DToL00024",1662.43126534005,-0.431050151547686,0.569539327359883,-0.756840012340909,0.449145717912288,0.999784095167442
"Vcard_DToL00026",1397.39323547786,-0.64613447085569,0.535545767728347,-1.20649720302418,0.227625836892713,0.999784095167442
"Vcard_DToL00028",199.204847799625,-0.391111346055706,0.769675451532357,-0.508150994392555,0.61134745531254,0.999784095167442
"Vcard_DToL00029",61.4756051227303,0.0333011882859278,0.837352886220565,0.0397695987366024,0.968276813741925,0.999784095167442
"Vcard_DToL00033",395.529936459284,-0.600837360699719,0.563055909587543,-1.06710070966106,0.285926361422043,0.999784095167442
"Vcard_DToL00034",1727.36722283773,0.679492029512304,0.944604085426679,0.719340557589666,0.471931112287714,0.999784095167442
"Vcard_DToL00035",36303.0409146001,0.733045120767485,0.936038075751606,0.783136006704509,0.433547248854813,0.999784095167442
"Vcard_DToL00037",1448.88051566421,-0.480427635396851,0.626080782108176,-0.767357263034215,0.442869130791049,0.999784095167442
"Vcard_DToL00039",310.595218561412,0.143486704390566,0.917057582378946,0.15646422552698,0.875667115800912,0.999784095167442
"Vcard_DToL00040",227.058674451337,0.781814571939708,0.545534684910118,1.43311615845016,0.151824644418643,0.999784095167442
"Vcard_DToL00044",62.069138346054,-0.115548068811918,0.833402081533333,-0.138646244558601,0.889729698314449,0.999784095167442
"Vcard_DToL00045",25.3025670794783,-0.330111247474543,1.1711490739036,-0.28186953721804,0.778043548592922,0.999784095167442
"Vcard_DToL00047",169.902000460959,0.170986078962576,0.579444924651978,0.2950859895188,0.767928192192062,0.999784095167442
"Vcard_DToL00048",4328.52479220687,0.560996440444405,0.66331626618737,0.845745037535289,0.397694992671666,0.999784095167442
"Vcard_DToL00051",134.341888065381,0.0298008891711201,0.756649278279535,0.0393853401127682,0.968583167736588,0.999784095167442
"Vcard_DToL00053",3912.64661437512,-0.0555041176574725,0.64349279301618,-0.0862544511140731,0.931264146218343,0.999784095167442
"Vcard_DToL00055",816.287056786873,-0.0501342138222635,0.62835037770404,-0.0797870353885221,0.93640663571042,0.999784095167442
"Vcard_DToL00056",603.940194594794,-0.314025084192505,0.527642802464157,-0.595147100890923,0.551745146697754,0.999784095167442
"Vcard_DToL00057",483.685761474722,-0.376895982904748,0.691219475095589,-0.545262389854722,0.585573067197057,0.999784095167442
"Vcard_DToL00058",42.6956121123987,-0.410482911707525,0.898557533911418,-0.456824294734578,0.647797341995092,0.999784095167442
"Vcard_DToL00060",82.1653609785055,-0.456505977288781,1.28368858989108,-0.355620499304675,0.722124789733596,0.999784095167442
"Vcard_DToL00061",126.602015427251,-0.291805443823502,0.658467719960463,-0.443158312819075,0.65765122930183,0.999784095167442
"Vcard_DToL00062",68.3069017833576,0.257695922272168,0.762738720893602,0.337856090445047,0.735471638508156,0.999784095167442
"Vcard_DToL00063",69.0712112966274,-0.00325809017036568,0.738192388427026,-0.00441360575026812,0.9964784635476,0.999784095167442
"Vcard_DToL00064",76.1817841225549,0.705653755260103,0.879618143322817,0.802227376295865,0.422421443129735,0.999784095167442
"Vcard_DToL00065",66.9163532527992,3.081172875085,0.860916183100305,3.578946401018,0.000344982205159012,0.0454897368858286
"Vcard_DToL00071",14.6339084399055,0.882388275342943,1.3916541118977,0.634057175413862,0.526043509310531,0.999784095167442
"Vcard_DToL00077",468.260151272129,0.375061015961705,0.72223816529595,0.519303789225839,0.603548911386674,0.999784095167442
"Vcard_DToL00079",270.600934910607,0.0798826866267655,0.709746777873723,0.112550967636768,0.910386560097722,0.999784095167442
"Vcard_DToL00080",1287.05333706811,0.128153021843908,0.691049132803563,0.185447048206248,0.852878409199202,0.999784095167442
"Vcard_DToL00081",15011.9657098358,-1.38816956129202,0.862242542540461,-1.60995252820859,0.107408220236841,0.999784095167442
