"Category"	"Dmelanogaster"	"Mouse"	"Cfamiliaris"	"Arabidopsis"	"Human"	"Scerevisiae"	"Ecoli"	"Tuberculosis"	"PhiX"	"Multiple Genomes"	"No hits"
"X1 HDLI V A_S91_L002_R2_001_BHCYNTDSX2_screen"	1312	401	256	190	203	117	1	2	0	4447	193330
"X3 HDLI V H_S7_L001_R1_001_BHCYNTDSX2_screen"	2199	352	208	223	237	94	1	0	0	2784	193833
"X3 HDLI V H_S7_L001_R2_001_BHCYNTDSX2_screen"	2847	456	364	226	195	115	1	0	0	4573	191154
"X3 HDLI V A_S8_L001_R1_001_BHCYNTDSX2_screen"	1936	330	254	148	245	111	4	4	0	4257	192954
"X3 HDLI V A_S8_L001_R2_001_BHCYNTDSX2_screen"	2247	450	335	134	251	110	4	2	0	6740	189970
"X4 HDLI V H_S9_L001_R1_001_BHCYNTDSX2_screen"	2651	387	290	224	332	91	2	0	0	3318	193107
"X4 HDLI V H_S9_L001_R2_001_BHCYNTDSX2_screen"	3573	505	394	214	261	125	2	0	0	4866	190462
"X4 HDLI V A_S10_L001_R1_001_BHCYNTDSX2_screen"	1450	257	196	204	222	138	4	0	0	4020	193208
"X4 HDLI V A_S10_L001_R2_001_BHCYNTDSX2_screen"	1650	369	294	232	180	127	5	0	0	6010	190832
"X18 HDLI V H_S92_L002_R1_001_BHCYNTDSX2_screen"	3089	439	339	211	351	85	2	0	0	3557	192225
"X18 HDLI V H_S92_L002_R2_001_BHCYNTDSX2_screen"	3776	548	388	194	306	104	3	0	0	4656	190323
"X18 HDLI V A_S11_L001_R1_001_BHCYNTDSX2_screen"	1331	285	152	193	203	116	3	0	0	3372	194850
"X18 HDLI V A_S11_L001_R2_001_BHCYNTDSX2_screen"	1391	382	315	175	175	115	2	1	0	6166	191783
"X1 LDAL III H_S93_L002_R1_001_BHCYNTDSX2_screen"	1875	405	322	344	275	131	2	0	0	2887	193773
"X1 LDAL III H_S93_L002_R2_001_BHCYNTDSX2_screen"	2292	509	434	317	272	108	2	0	0	4787	191293
"X1 LDAL III A_S94_L002_R1_001_BHCYNTDSX2_screen"	2136	451	289	247	326	117	2	3	0	4446	192407
"X1 LDAL III A_S94_L002_R2_001_BHCYNTDSX2_screen"	2402	560	411	238	329	131	2	1	0	7551	188799
"X3 LDAL III H_S12_L001_R1_001_BHCYNTDSX2_screen"	1206	257	169	244	173	139	3	0	0	5464	192715
"X3 LDAL III H_S12_L001_R2_001_BHCYNTDSX2_screen"	1215	442	298	274	203	222	3	1	0	7421	190291
"X3 LDAL III A_S13_L001_R1_001_BHCYNTDSX2_screen"	2356	419	347	277	314	141	5	1	0	4377	191185
"X3 LDAL III A_S13_L001_R2_001_BHCYNTDSX2_screen"	2823	572	369	219	281	155	1	1	0	5610	189391
"X4 LDAL III H_S14_L001_R1_001_BHCYNTDSX2_screen"	1716	424	321	368	305	124	0	0	0	2987	193899
"X4 LDAL III H_S14_L001_R2_001_BHCYNTDSX2_screen"	2034	522	423	287	302	142	0	0	0	5097	191337
"X4 LDAL III A_S95_L002_R1_001_BHCYNTDSX2_screen"	1876	410	284	328	282	118	5	1	0	3428	193007
"X4 LDAL III A_S95_L002_R2_001_BHCYNTDSX2_screen"	2201	510	409	290	283	148	5	0	0	5482	190411
"X18 LDAL III H_S96_L002_R1_001_BHCYNTDSX2_screen"	2710	434	335	214	346	95	1	3	0	3574	191545
"X18 LDAL III H_S96_L002_R2_001_BHCYNTDSX2_screen"	2817	516	413	233	333	97	1	2	0	5472	189373
"X18 LDAL III A_S97_L002_R1_001_BHCYNTDSX2_screen"	2168	429	300	237	271	108	0	0	0	4069	192986
"X18 LDAL III A_S97_L002_R2_001_BHCYNTDSX2_screen"	2597	529	423	259	256	153	0	0	0	5812	190539
"X1 LDAL V H_S98_L002_R1_001_BHCYNTDSX2_screen"	3055	465	348	191	394	68	2	0	0	3900	191629
"X1 LDAL V H_S98_L002_R2_001_BHCYNTDSX2_screen"	3318	543	396	154	355	83	1	0	0	6313	188889
"X1 LDAL V A_S99_L002_R1_001_BHCYNTDSX2_screen"	2097	454	306	230	321	138	1	0	1	4326	191953
"X1 LDAL V A_S99_L002_R2_001_BHCYNTDSX2_screen"	2405	532	386	217	300	147	2	0	1	5622	190215
"X3 LDAL V H_S100_L002_R1_001_BHCYNTDSX2_screen"	1785	306	235	199	307	108	2	1	0	2994	194637
"X3 LDAL V H_S100_L002_R2_001_BHCYNTDSX2_screen"	2030	414	313	186	234	125	3	0	0	4819	192450
"X3 LDAL V A_S15_L001_R1_001_BHCYNTDSX2_screen"	1630	301	194	182	260	85	0	0	0	4130	193257
"X3 LDAL V A_S15_L001_R2_001_BHCYNTDSX2_screen"	1739	403	274	188	247	120	2	0	0	6269	190797
"X4 LDAL V H_S101_L002_R1_001_BHCYNTDSX2_screen"	2504	387	272	196	253	83	3	0	0	3171	192801
"X4 LDAL V H_S101_L002_R2_001_BHCYNTDSX2_screen"	3052	482	369	166	248	120	3	0	0	5065	190165
"X4 LDAL V A_S102_L002_R1_001_BHCYNTDSX2_screen"	1196	317	216	172	228	101	3	0	0	3706	194014
"X4 LDAL V A_S102_L002_R2_001_BHCYNTDSX2_screen"	1319	425	241	131	196	126	3	0	0	4718	192794
"X18 LDAL V H_S103_L002_R1_001_BHCYNTDSX2_screen"	1155	256	212	461	195	154	2	0	0	2154	195791
"X18 LDAL V H_S103_L002_R2_001_BHCYNTDSX2_screen"	1384	382	374	357	217	137	2	0	0	5624	191903
"X18 LDAL V A_S104_L002_R1_001_BHCYNTDSX2_screen"	1239	352	265	433	234	193	7	0	0	5913	191258
"X18 LDAL V A_S104_L002_R2_001_BHCYNTDSX2_screen"	1490	556	490	367	217	220	5	0	0	10288	186261
"3 AL ADF H_S105_L002_R1_001_BHCYNTDSX2_screen"	914	164	121	213	153	61	0	0	0	1134	197239
"3 AL ADF H_S105_L002_R2_001_BHCYNTDSX2_screen"	1165	224	200	192	119	71	1	1	0	1967	196059
"3 AL ADF A_S106_L002_R1_001_BHCYNTDSX2_screen"	661	177	160	264	148	88	5	0	0	2261	196405
"3 AL ADF A_S106_L002_R2_001_BHCYNTDSX2_screen"	849	312	275	234	171	100	7	0	0	4438	193783
"7 AL ADF H_S107_L002_R1_001_BHCYNTDSX2_screen"	1233	171	135	219	134	60	1	1	0	1979	195683
"7 AL ADF H_S107_L002_R2_001_BHCYNTDSX2_screen"	1543	334	268	186	135	106	2	1	0	4312	192729
"7 AL ADF A_S16_L001_R1_001_BHCYNTDSX2_screen"	1131	244	228	375	187	139	6	1	0	2723	195510
"7 AL ADF A_S16_L001_R2_001_BHCYNTDSX2_screen"	1408	311	366	351	191	140	3	1	0	4309	193464
"9 AL ADF H_S108_L002_R1_001_BHCYNTDSX2_screen"	967	195	105	198	146	56	1	1	0	1534	196957
"9 AL ADF H_S108_L002_R2_001_BHCYNTDSX2_screen"	1240	290	218	141	127	84	0	2	0	3263	194795
"9 AL ADF A_S109_L002_R1_001_BHCYNTDSX2_screen"	783	259	183	310	201	131	2	0	0	2369	195639
"9 AL ADF A_S109_L002_R2_001_BHCYNTDSX2_screen"	910	347	309	260	216	131	2	0	0	3782	193920
"11 AL ADF H_S110_L002_R1_001_BHCYNTDSX2_screen"	1042	198	146	172	143	72	1	0	0	1730	196680
"11 AL ADF H_S110_L002_R2_001_BHCYNTDSX2_screen"	1403	333	266	192	138	63	1	0	0	4251	193537
"11 AL ADF A_S111_L002_R1_001_BHCYNTDSX2_screen"	699	213	183	313	187	122	16	0	0	2265	195891
"11 AL ADF A_S111_L002_R2_001_BHCYNTDSX2_screen"	739	321	314	268	172	131	12	2	0	4718	193212
"19 AL ADF A_S17_L001_R1_001_BHCYNTDSX2_screen"	804	184	174	232	148	97	12	1	0	1859	195976
"19 AL ADF A_S17_L001_R2_001_BHCYNTDSX2_screen"	1044	269	299	213	141	94	10	1	0	3814	193602
"8 LI ADF H_S112_L002_R1_001_BHCYNTDSX2_screen"	1061	223	141	218	168	58	1	0	0	1968	196049
"8 LI ADF H_S112_L002_R2_001_BHCYNTDSX2_screen"	1296	384	267	187	158	107	1	1	0	6135	191351
"8 LI ADF A_S113_L002_R1_001_BHCYNTDSX2_screen"	819	227	276	241	216	130	1	0	0	1710	196359
"8 LI ADF A_S113_L002_R2_001_BHCYNTDSX2_screen"	889	273	355	209	199	106	2	0	0	3287	194659
"10 LI ADF H_S114_L002_R1_001_BHCYNTDSX2_screen"	932	148	101	180	128	71	2	0	0	1560	196943
