"Category"	"Dmelanogaster"	"Mouse"	"Cfamiliaris"	"Arabidopsis"	"Human"	"Scerevisiae"	"Ecoli"	"Tuberculosis"	"PhiX"	"Multiple Genomes"	"No hits"
"X18 LDAL PM A_S40_L001_R1_001_BHCYNTDSX2_screen"	696	312	192	359	190	128	0	0	0	2426	195807
"X18 LDAL PM A_S40_L001_R2_001_BHCYNTDSX2_screen"	717	399	390	283	213	118	0	0	0	7566	190424
"X1 LDAL PF H_S41_L001_R1_001_BHCYNTDSX2_screen"	690	331	177	370	200	121	0	0	1	2591	195546
"X1 LDAL PF H_S41_L001_R2_001_BHCYNTDSX2_screen"	719	425	383	325	254	103	1	0	0	5992	191825
"X1 LDAL PF A_S42_L001_R1_001_BHCYNTDSX2_screen"	554	364	230	443	162	186	1	2	0	5804	192396
"X1 LDAL PF A_S42_L001_R2_001_BHCYNTDSX2_screen"	683	453	334	434	181	178	0	1	0	7423	190455
"X3 LDAL PF H_S43_L001_R1_001_BHCYNTDSX2_screen"	708	313	171	329	195	130	3	0	0	3280	195219
"X3 LDAL PF H_S43_L001_R2_001_BHCYNTDSX2_screen"	941	426	320	277	153	138	3	0	0	4434	193656
"X3 LDAL PF A_S44_L001_R1_001_BHCYNTDSX2_screen"	1068	296	196	243	188	122	1	0	0	4559	193106
"X3 LDAL PF A_S44_L001_R2_001_BHCYNTDSX2_screen"	1617	532	402	256	193	141	2	0	0	6007	190629
"X4 LDAL PF H_S45_L001_R1_001_BHCYNTDSX2_screen"	546	298	188	301	177	171	3	1	0	4453	193775
"X4 LDAL PF H_S45_L001_R2_001_BHCYNTDSX2_screen"	652	447	353	320	174	204	2	0	0	6725	191036
"X4 LDAL PF A_S46_L001_R1_001_BHCYNTDSX2_screen"	470	267	205	383	188	152	0	0	0	4167	193866
"X4 LDAL PF A_S46_L001_R2_001_BHCYNTDSX2_screen"	560	455	346	383	168	154	0	0	0	5803	191829
"X18 LDAL PF H_S47_L001_R1_001_BHCYNTDSX2_screen"	465	230	115	299	113	57	0	1	0	1739	196883
"X18 LDAL PF H_S47_L001_R2_001_BHCYNTDSX2_screen"	517	291	290	258	198	51	0	1	0	3692	194604
"X18 LDAL PF A_S48_L001_R1_001_BHCYNTDSX2_screen"	517	243	132	431	205	124	0	0	0	2447	195851
"X18 LDAL PF A_S48_L001_R2_001_BHCYNTDSX2_screen"	609	348	266	391	201	125	0	0	0	5479	192531
"X1 HDAL ADM H_S49_L001_R1_001_BHCYNTDSX2_screen"	1153	292	166	135	124	28	0	0	0	1224	196989
"X1 HDAL ADM H_S49_L001_R2_001_BHCYNTDSX2_screen"	1423	285	504	132	191	13	0	0	0	3636	193927
"X1 HDAL ADM A_S50_L001_R1_001_BHCYNTDSX2_screen"	714	246	191	442	175	193	0	0	0	3884	194321
"X1 HDAL ADM A_S50_L001_R2_001_BHCYNTDSX2_screen"	876	381	271	398	173	174	0	0	0	4633	193260
"X18 HDAL ADM H_S51_L001_R1_001_BHCYNTDSX2_screen"	1467	252	184	176	169	56	1	0	0	2364	195690
"X18 HDAL ADM H_S51_L001_R2_001_BHCYNTDSX2_screen"	2006	350	374	166	173	78	1	0	0	5889	191322
"X18 HDAL ADM A_S52_L001_R1_001_BHCYNTDSX2_screen"	925	264	238	240	207	108	2	0	0	4207	193510
"X18 HDAL ADM A_S52_L001_R2_001_BHCYNTDSX2_screen"	1433	522	400	274	186	112	2	0	0	5798	190974
"X1 HDAL ADF H_S53_L001_R1_001_BHCYNTDSX2_screen"	1022	237	155	187	150	72	1	0	0	2543	195946
"X1 HDAL ADF H_S53_L001_R2_001_BHCYNTDSX2_screen"	1452	373	246	198	138	112	1	0	0	3290	194503
"X1 HDAL ADF A_S54_L001_R1_001_BHCYNTDSX2_screen"	917	648	359	584	355	431	8	0	0	15049	181766
"X1 HDAL ADF A_S54_L001_R2_001_BHCYNTDSX2_screen"	1131	1597	672	628	299	417	6	0	0	18324	177043
"X3 HDAL ADF H_S55_L001_R1_001_BHCYNTDSX2_screen"	952	257	126	155	119	39	0	0	0	1233	197150
"X3 HDAL ADF H_S55_L001_R2_001_BHCYNTDSX2_screen"	995	272	400	161	174	33	0	0	0	4066	193930
"X3 HDAL ADF A_S56_L001_R1_001_BHCYNTDSX2_screen"	910	242	213	414	221	140	0	0	0	2005	196080
"X3 HDAL ADF A_S56_L001_R2_001_BHCYNTDSX2_screen"	908	378	372	364	265	126	0	1	0	5836	191975
"X18 HDAL ADF H_S57_L001_R1_001_BHCYNTDSX2_screen"	853	231	137	138	114	39	0	0	0	1028	197420
"X18 HDAL ADF H_S57_L001_R2_001_BHCYNTDSX2_screen"	1008	220	473	145	104	17	0	0	0	2533	195460
"X18 HDAL ADF A_S58_L001_R1_001_BHCYNTDSX2_screen"	924	316	310	424	215	192	2	0	0	3807	193482
"X18 HDAL ADF A_S58_L001_R2_001_BHCYNTDSX2_screen"	1172	440	401	375	223	169	0	0	0	5247	191645
"X1 LDAL ADM H_S59_L001_R1_001_BHCYNTDSX2_screen"	1171	235	172	197	145	67	0	0	0	2268	195504
"X1 LDAL ADM H_S59_L001_R2_001_BHCYNTDSX2_screen"	1507	366	284	163	188	96	0	0	0	4748	192407
"X1 LDAL ADM A_S60_L001_R1_001_BHCYNTDSX2_screen"	766	889	459	481	432	477	15	2	0	22101	173770
"X1 LDAL ADM A_S60_L001_R2_001_BHCYNTDSX2_screen"	1164	1737	963	574	363	526	15	1	0	24187	169862
"X3 LDAL ADM A H_S61_L001_R1_001_BHCYNTDSX2_screen"	1161	197	139	187	151	56	0	0	0	1986	195946
"X3 LDAL ADM A H_S61_L001_R2_001_BHCYNTDSX2_screen"	1652	348	215	179	114	84	0	0	0	2764	194467
"X3 LDAL ADM B H_S62_L001_R1_001_BHCYNTDSX2_screen"	963	256	100	115	112	32	0	0	0	859	197281
"X3 LDAL ADM B H_S62_L001_R2_001_BHCYNTDSX2_screen"	1179	226	454	129	156	14	0	0	0	3035	194525
"X3 LDAL ADM B A_S63_L001_R1_001_BHCYNTDSX2_screen"	1008	241	124	238	113	51	0	0	0	1021	196857
"X3 LDAL ADM B A_S63_L001_R2_001_BHCYNTDSX2_screen"	1315	272	446	241	145	41	1	0	0	3669	193523
"X18 LDAL ADM H_S64_L001_R1_001_BHCYNTDSX2_screen"	965	200	134	159	132	30	1	0	0	1202	197320
"X18 LDAL ADM H_S64_L001_R2_001_BHCYNTDSX2_screen"	1051	254	460	135	130	31	1	0	0	2962	195119
"X18 LDAL ADM A_S65_L001_R1_001_BHCYNTDSX2_screen"	1024	271	225	574	212	163	0	2	0	3673	193971
"X18 LDAL ADM A_S65_L001_R2_001_BHCYNTDSX2_screen"	1081	364	308	515	202	161	0	1	0	5953	191530
"X1 LDAL ADF H_S66_L001_R1_001_BHCYNTDSX2_screen"	1164	192	175	184	138	60	2	0	0	1989	196290
"X1 LDAL ADF H_S66_L001_R2_001_BHCYNTDSX2_screen"	1598	385	281	159	140	88	2	0	0	3734	193807
"X1 LDAL ADF A_S67_L001_R1_001_BHCYNTDSX2_screen"	1167	347	272	353	223	147	8	0	0	7136	190611
"X1 LDAL ADF A_S67_L001_R2_001_BHCYNTDSX2_screen"	1480	669	559	363	301	174	9	0	0	11045	185664
"X3 LDAL ADF H_S68_L001_R1_001_BHCYNTDSX2_screen"	1230	248	182	189	166	67	2	0	0	2247	196173
"X3 LDAL ADF H_S68_L001_R2_001_BHCYNTDSX2_screen"	1575	386	251	165	151	89	2	0	0	3597	194288
"X4 LDAL ADF H_S69_L001_R1_001_BHCYNTDSX2_screen"	1184	276	148	142	137	18	0	0	0	1313	196611
"X4 LDAL ADF H_S69_L001_R2_001_BHCYNTDSX2_screen"	1384	264	668	128	145	18	0	0	0	3049	194173
"X4 LDAL ADF A_S70_L001_R1_001_BHCYNTDSX2_screen"	917	314	188	369	180	88	1	0	0	1721	196110
"X4 LDAL ADF A_S70_L001_R2_001_BHCYNTDSX2_screen"	1169	304	632	366	206	65	1	0	0	2754	194391
"X18 LDAL ADF H_S71_L001_R1_001_BHCYNTDSX2_screen"	1672	376	208	136	157	47	0	0	0	2192	195532
"X18 LDAL ADF H_S71_L001_R2_001_BHCYNTDSX2_screen"	1939	397	723	124	157	44	0	0	0	5511	191425
"X18 LDAL ADF A_S72_L001_R1_001_BHCYNTDSX2_screen"	1123	447	322	492	283	240	2	0	0	5772	191326
"X18 LDAL ADF A_S72_L001_R2_001_BHCYNTDSX2_screen"	1132	611	506	434	286	242	1	0	0	7929	188866
