"Category"	"Top over-represented sequence"	"Sum of remaining over-represented sequences"
"X4 LDAL III H_S14_L001_R1_001_BHCYNTDSX2"	0	0
"X4 LDAL III H_S14_L001_R2_001_BHCYNTDSX2"	0.4337266522247312	0.49147312879200306
"X4 LDAL III A_S95_L002_R1_001_BHCYNTDSX2"	0	0
"X4 LDAL III A_S95_L002_R2_001_BHCYNTDSX2"	0.4090653336018747	1.0881914702330535
"X18 LDAL III H_S96_L002_R1_001_BHCYNTDSX2"	0	0
"X18 LDAL III H_S96_L002_R2_001_BHCYNTDSX2"	0.2949006143069009	0.6525106954090438
"X18 LDAL III A_S97_L002_R1_001_BHCYNTDSX2"	0	0
"X18 LDAL III A_S97_L002_R2_001_BHCYNTDSX2"	0.33750847867828554	0.49421576223250313
"X1 LDAL V H_S98_L002_R1_001_BHCYNTDSX2"	0	0
"X1 LDAL V H_S98_L002_R2_001_BHCYNTDSX2"	0.5552690891508907	0.7602038159705433
"X1 LDAL V A_S99_L002_R1_001_BHCYNTDSX2"	0	0
"X1 LDAL V A_S99_L002_R2_001_BHCYNTDSX2"	0.2270162914078169	0
"X3 LDAL V H_S100_L002_R1_001_BHCYNTDSX2"	0.10469930236456397	0
"X3 LDAL V H_S100_L002_R2_001_BHCYNTDSX2"	0.3858917144293929	0.668520828670935
"X3 LDAL V A_S15_L001_R1_001_BHCYNTDSX2"	0	0
"X3 LDAL V A_S15_L001_R2_001_BHCYNTDSX2"	0.48248150050279376	0.6676804867979551
"X4 LDAL V H_S101_L002_R1_001_BHCYNTDSX2"	0.1520622701331781	0.3408435705270847
"X4 LDAL V H_S101_L002_R2_001_BHCYNTDSX2"	0.36762270976098393	1.973632140177861
"X4 LDAL V A_S102_L002_R1_001_BHCYNTDSX2"	0	0
"X4 LDAL V A_S102_L002_R2_001_BHCYNTDSX2"	0.286320973421452	0.2094484862780322
"X18 LDAL V H_S103_L002_R1_001_BHCYNTDSX2"	0	0
"X18 LDAL V H_S103_L002_R2_001_BHCYNTDSX2"	0.7544198847997446	0.4671977143454221
"X18 LDAL V A_S104_L002_R1_001_BHCYNTDSX2"	0	0
"X18 LDAL V A_S104_L002_R2_001_BHCYNTDSX2"	1.1134319955397711	0.38058215839881737
"3 AL ADF H_S105_L002_R1_001_BHCYNTDSX2"	0.16509141349260453	0
"3 AL ADF H_S105_L002_R2_001_BHCYNTDSX2"	0.15838931091582353	0.11826996012184199
"3 AL ADF A_S106_L002_R1_001_BHCYNTDSX2"	0	0
"3 AL ADF A_S106_L002_R2_001_BHCYNTDSX2"	0.4083843955003547	0
"7 AL ADF H_S107_L002_R1_001_BHCYNTDSX2"	0.11169069468265477	0.10221120100175343
"7 AL ADF H_S107_L002_R2_001_BHCYNTDSX2"	0.43515808120897087	1.0559216016176545
"7 AL ADF A_S16_L001_R1_001_BHCYNTDSX2"	0	0
